symbol,name,category,last_m_close,ret_1m_%,ret_3m_%,ret_6m_%,ret_12m_%,mom_12_1_%,CAGR_5y_%,Vol_ann_%,Sharpe,Sortino,MaxDD_%,Alpha_%,Beta,UpCapture_%,DownCapture_%,Treynor,Info_Ratio,Skewness,Kurtosis,RSI14_monthly,ADX14_monthly,Above_10MO,%_Above_10MO,Expense_%,AUM_M,Div_Yield_%,BidAsk_Proxy_%,AvgDollarVol_60d,Corr_vs_SPY
BITU,ProShares Ultra Bitcoin ETF,Currency,51.310001373291016,7.101631422402921,3.331971000753642,64.17851658426987,115.59484814154435,101.29931288464707,39.35702955079768,96.99798120755912,0.7577298349903213,2.221212160505305,40.03172231112459,,,,,,,1.190319074908134,3.0591103991697572,60.58555269186466,,1,12.034366689321295,0.95,1107.74,,0.1,112595125.79,
BITX,2x Bitcoin Strategy ETF,Currency,53.63999938964844,6.466029786765892,2.4206666890522532,61.3577946909865,113.81383828909443,100.82822541361662,104.29895617701597,112.5250159093986,1.1199663867101834,3.41287069602753,48.52893976724529,,,,,,,1.1259285115453566,1.715108166191318,60.222196794222874,,1,11.212273065779833,2.38,2336.19,,0.1,405611519.04,
AVGX,Defiance Daily Target 2X Long AVGO ETF,Equity,50.630001068115234,26.58132826004107,41.266743450221234,242.09459740284848,148.18667886873104,96.06894814602609,131.42533076149894,116.58835839079276,1.2475140366464375,4.0099477838130255,53.99104625085843,,,,,,,0.9168620387897046,0.6780894862651827,50.0,,1,63.86404711917428,1.3,103.611,,0.1,25946913.03,
ARKW,ARK Next Generation Internet ETF,Equity,159.75,1.9724219747595972,8.217047340492822,68.74406157156021,87.65418202052867,84.0244434588179,18.486636412755765,40.91833881717807,0.6106406880585701,1.1583937656962562,75.37458676807898,,,,,,,0.24471151296490162,-0.01890614156503423,79.97805614062777,39.47436914238036,1,25.218495077489568,0.8199999999999998,2352.16,,0.1,53145150.75,
ARKF,ARK Fintech Innovation ETF,Equity,54.31999969482422,1.4568523831882674,8.121014888632327,63.31930978979137,82.15962525396137,79.54393515577449,15.351274004843841,39.38210946940836,0.5516781268558855,1.032660911381085,74.18596097525966,,,,,,,0.15211640198632537,0.0775540806704127,77.81198546954343,42.08759852829328,1,23.716035558292205,0.75,1328.03,,0.1,32690047.6,
SGDM,Sprott Gold Miners ETF,Equity,56.13999938964844,5.625583777855003,24.093716416393928,47.97048345206587,82.90836419917457,73.1667250084561,16.089554300458776,33.964587895189936,0.5930758748481193,1.5014758537815742,43.149213240463965,,,,,,,1.0630593194245728,2.6757653999350492,87.19105649764512,54.782963192079656,1,36.072625761006364,0.5,530.042,,0.1,2751140.7,
STCE,Schwab Crypto Thematic ETF,Equity,63.540000915527344,6.396516437946653,27.07165461009069,94.43400028972559,81.99609252035933,71.05455950383903,46.78481876736915,55.84729189061572,0.9705130373992431,2.5260436041575223,38.54894860980409,,,,,,,0.22618172775724005,-0.5685736841912203,65.63380392689447,37.922584640470845,1,34.954129241659906,0.3,169.596,,0.1,3001375.44,
HODL,VanEck Bitcoin ETF,Currency,31.489999771118164,2.8748746919952994,3.347556549883546,35.092237205442075,75.35847956781707,70.45802494810887,41.99174278259705,46.470252370539924,1.006504809936133,2.2945040089876407,18.794636725667452,,,,,,,0.5083761300716617,1.2083644470103576,68.89323823114263,,1,10.848080863136156,0.25,1900.89,,0.1,27896991.0,
BTC,Grayscale Bitcoin Mini Trust ETF,Currency,49.31999969482422,2.900061299391088,3.287957476071668,35.16031084188347,75.20426416758595,70.26643323158324,73.11246046251291,45.505917724917374,1.513573964598336,2.9025998913023585,18.929120108387917,,,,,,,0.9348406828104115,3.0359497528865407,50.0,,1,10.731925293804911,0.15,5225.67,,0.1,57534936.48,
MSTY,YieldMax MSTR Option Income Strategy ETF,Equity,15.4399995803833,6.463254720464473,-10.345743968028842,23.732066411738572,81.20628220074462,70.20546917951116,37.34791578186207,66.74196139466413,0.8212711541663724,1.55846717354839,34.915086970086016,,,,,,,-0.19968015284862686,-0.5901261851626676,63.42129408835,,1,6.385000502354954,0.9899999999999999,4632.45,,0.1,162796395.51999998,
BITB,Bitwise Bitcoin ETF Trust,Currency,60.56999969482422,2.887720050592213,3.3794154925409714,34.9598891561878,75.10841118135296,70.19369376175138,41.83170709084338,46.589527278647225,1.0020015758720255,2.30746543014313,18.7839261105681,,,,,,,0.5355672592996769,1.2837380032755896,68.84603800479728,,1,10.83054268146897,0.2,4448.09,,0.1,89883820.62,
EZBC,Franklin Bitcoin ETF,Currency,64.45999908447266,2.889062273759224,3.2681848371829414,34.96650198877844,75.06789684610939,70.15209680918495,41.767156496762325,46.44810688340013,1.0026736975502182,2.2982406028175473,18.885873887328692,,,,,,,0.5425172460947167,1.3299968682800416,68.80914962492137,,1,10.79598993285531,0.19,612.247,,0.1,6335580.02,
BRRR,Coinshares Bitcoin ETF,Currency,31.459999084472656,2.850790373039813,3.2490967949719174,35.02145971933324,74.9721906864949,70.12235885778881,41.78944483731279,46.60742845373235,1.0013327341265181,2.285996413221717,18.928324903900887,,,,,,,0.5182996475721109,1.238823991843502,68.82032325369232,,1,10.767625061155517,0.25,646.141,,0.1,6304772.76,
IBIT,iShares Bitcoin Trust ETF,Currency,63.220001220703125,2.89713970341845,3.2837806997130903,35.05661048062984,74.97923983316693,70.05257904885546,41.56750539491634,46.68904087065325,0.9968056596962769,2.301552530019032,18.8875374876143,,,,,,,0.5083110825504197,1.188333385069337,68.72303751272526,,1,10.789831458206688,0.12,83567.8,,0.1,2820020717.2999997,
FBTC,Fidelity Wise Origin Bitcoin Fund,Currency,97.13999938964844,2.913444239625229,3.351422063488685,34.97290223986384,74.932471682072,69.98019352530518,41.714740558299866,46.565717175456044,1.0003054469578148,2.3086203673436283,18.806406006013656,,,,,,,0.5420187448472794,1.3038797717496533,68.79219789923354,,1,10.813246674634524,0.25,22236.0,,0.1,321452773.8,
